1	  0.079	 0.017	0.017
10	  0.225	 0.036	0.035
100  1.856	 0.202	0.210
250  4.561	 0.502	0.500
500  9.069	 0.985	0.998
750  13.767	 1.486	1.482
1000 18.142	 1.990	1.982
